"Data Source","World Development Indicators",

"Last Updated Date","2023-09-19",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Aruba","ABW","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.66627549128003","5.80520829908115","5.40808776689833","5.99247466594966","6.0992793479953","5.93620479628614","5.92696062056491","5.94051930054014","5.86489614512547","6.39791714828729","6.43004085995552","6.33669632264181","6.16479238974923","6.20294930936034","5.83996278047184","6.15030742752127","6.06464089982755","5.96564991448039","5.8191823254946","5.80429832634485","5.85549698514215","","",
"Afghanistan","AFG","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.44339085","8.94125843","9.80847359","9.94828892","10.62276554","9.90467453","10.25649548","9.81848717","8.56967163","8.56190777","7.89716864","8.80596447","9.52887821","10.10534763","11.81859016","12.62081718","14.20841891","14.8313194","15.53361392","16.82606226","",
"Africa Western and Central","AFW","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.7536822441661","3.74988047465502","3.36728572028035","4.64398595437052","4.45404816266082","4.2550340031975","4.12211098500738","3.89358366981452","3.71996110738912","3.76973793530356","3.50791769826248","3.53819266217454","3.49717003002859","3.61307791395087","3.59507006114248","3.82066134876618","3.80727364214545","3.7814550842984","3.39562602910568","3.34648471064193","3.8346499573516","","",
"Angola","AGO","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.90859938","4.48351622","3.32946134","3.54797316","3.96719909","2.85219526","2.68553543","2.97439122","3.32290339","3.84260798","2.69509959","2.64560771","2.39574957","2.73282695","2.43412876","2.60579467","2.71314979","2.79383755","2.58879566","2.65592647","2.91183472","","",
"Albania","ALB","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.94418573","5.92583275","5.6645999","6.19891882","6.0557785","5.83303022","5.6859889","5.70842791","5.50962448","5.7276206","6.23899555","6.11952829","6.09262609","6.27234411","6.44164276","6.48361206","6.66606188","6.54604626","6.65958786","","","","",
"Andorra","AND","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.95210266","5.85757971","5.99556017","5.54707241","5.2878232","5.59412527","4.96465921","4.92283344","5.6700263","6.08030987","7.87839746","7.70434046","6.74644995","6.83291245","6.82586813","7.02324152","7.00839424","7.16179609","7.43045759","7.40840626","9.05175877","","",
"Arab World","ARB","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.01397883320991","4.29751659741524","4.30538106964077","4.13074779573149","3.81999479802194","3.51164558851342","3.48220075134402","3.5752706944136","3.4080238840053","4.301016132052","3.91074710297467","3.90512836626731","3.98192622377261","4.24060801690369","4.58347250678055","5.17255590400434","5.24913968431637","5.35063716249487","4.98689964964532","4.83422758187519","5.31604293604837","","",
"United Arab Emirates","ARE","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.37413526","2.48437047","2.71770859","2.64634395","2.46204329","2.32019687","2.3254137","2.56569624","2.92847514","4.04999304","3.87873054","3.67006993","3.4251945","3.59299517","3.63020706","3.58359146","3.4660213","4.05960608","4.14547014","4.29904938","5.67226824","","",
"Argentina","ARG","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.22001076","8.37179852","7.3933115","6.89451647","7.22868252","7.61078882","7.64032793","7.83455086","8.1826973","9.45599556","9.44546413","9.41819859","9.82726669","9.78097916","9.67129993","10.22933674","9.00189781","10.44225693","9.49909592","9.47170544","9.98438072","","",
